,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
361,santa maria,0,BR,1580954424,83,-29.68,-53.81,299.15,4.1
362,alegrete,0,BR,1580954392,56,-29.78,-55.79,300.06,5.07
363,buzmeyin,0,TM,1580954480,36,38.05,58.21,274.15,2.1
364,alyangula,75,AU,1580954481,70,-13.85,136.42,304.15,3.1
365,ercis,40,TR,1580954481,74,39.03,43.36,271.15,3.1
366,mehran,0,IR,1580954481,55,33.12,46.16,276.15,2.1
367,ereymentau,100,KZ,1580954482,94,51.62,73.1,272.6,10.97
368,nanortalik,100,GL,1580954482,78,60.14,-45.24,271.15,2.73
369,mitu,4,CO,1580954483,73,1.2,-70.17,297.16,1.03
370,todos santos,75,MX,1580954406,59,23.45,-110.22,290.15,5.1
371,ormara,0,PK,1580954484,56,25.21,64.64,294.13,5.77
372,narrabri,90,AU,1580954484,82,-30.32,149.78,293.15,4.6
373,san patricio,75,MX,1580954485,74,19.22,-104.7,300.15,7.7
374,la ronge,40,CA,1580954485,70,55.1,-105.28,252.15,4.1
375,san nicolas,20,PH,1580954486,61,18.17,120.6,300.15,3.1
376,kysyl-syr,27,RU,1580954486,97,63.9,122.76,236.37,0.82
377,yaan,97,NG,1580954487,11,7.38,8.57,298.75,2.03
378,gbadolite,12,CD,1580954487,53,4.28,21.02,294.17,0.9
379,zhezkazgan,75,KZ,1580954491,92,47.8,67.71,267.15,6.0
380,berdigestyakh,10,RU,1580954492,95,62.1,126.7,239.57,0.06
381,saint george,1,US,1580954382,47,37.1,-113.58,278.15,4.6
382,margate,0,GB,1580954493,93,51.38,1.39,277.04,2.1
383,guerrero negro,36,MX,1580954493,42,27.98,-114.06,286.25,8.51
